游戏名称,批评空间链接,图片链接,会社,游戏官网,中央值,平均值,标准偏差,评论数
家族計画,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1714#ad,https://pics.dmm.co.jp/digital/pcgame/cdb_0143/cdb_0143ps.jpg,D.O.(ディーオー),None,88,85.68,12,1828
パルフェ ～ショコラ second brew～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4673#ad,https://www.suruga-ya.jp/pics/boxart_m/145012582m.jpg,戯画,None,88,86.26,11,1795
ChuSingura46+1 -忠臣蔵46+1-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17811#ad,https://pics.dmm.co.jp/digital/pcgame/inre_0001/inre_0001ps.jpg,インレ,http://inre-soft.com/index2.html,88,86.18,10,1619
蒼の彼方のフォーリズム EXTRA2,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=30183#ad,https://pics.dmm.co.jp/digital/pcgame/sprite_0008/sprite_0008ps.jpg,sprite,https://aokana.net/extra2/,88,87.50,9,466
Ever17 -the out of infinity-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12009#ad,https://www.suruga-ya.jp/pics/boxart_m/177001035m.jpg,KID,None,88,86.12,13,262
アマカノ2+,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=33621#ad,https://pics.dmm.co.jp/digital/pcgame/next_0370/next_0370ps.jpg,あざらしそふと,http://azarashi-soft.nexton-net.jp/amakano2-plus/,88,86.24,10,205
BLACK SHEEP TOWN,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=25166#ad,https://img.dlsite.jp/modpub/images2/work/doujin/RJ01123000/RJ01122394_img_main.jpg,BA-KU,https://blacksheeptown.com/,88,87.02,9,174
月姫 -A piece of blue glass moon-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=30421#ad,https://www.suruga-ya.jp/pics/boxart_m/107004785m.jpg,TYPE-MOON,http://www.typemoon.com/products/tsukihime/,88,85.64,13,134
十三機兵防衛圏,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=25899#ad,https://www.suruga-ya.jp/pics/boxart_m/107003298m.jpg,ATLUS,http://13sar.jp/,88,86.56,9,111
穢翼のユースティア,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13640#ad,https://pics.dmm.co.jp/digital/pcgame/abgktk_0010/abgktk_0010ps.jpg,AUGUST,https://august-soft.com/eustia/index.html,87,86.21,10,3405
BALDR FORCE EXE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2542#ad,https://www.suruga-ya.jp/pics/boxart_m/145006883m.jpg,戯画,None,87,85.74,10,1614
Phantom ～Phantom of inferno～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=633#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0143/hobc_0143ps.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_01/phantom_int/,87,85.25,11,1238
さくらの雲＊スカアレットの恋,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=28762#ad,https://pics.dmm.co.jp/digital/pcgame/cabbage_0005/cabbage_0005ps.jpg,きゃべつそふと,http://cabbage-soft.com/products/scarlet/,87,85.89,10,1226
蒼の彼方のフォーリズム Perfect Edition,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26972#ad,https://pics.dmm.co.jp/digital/pcgame/sprite_0004/sprite_0004ps.jpg,sprite,https://aokana.net/products/4thanniversarybox/,87,86.76,9,263
CHAOS;CHILD,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=21831#ad,https://www.suruga-ya.jp/pics/boxart_m/105000863m.jpg,MAGES.(5pb.),http://chaoschild.jp/,87,85.38,10,120
CROSS†CHANNEL ～To all people～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13335#ad,https://www.suruga-ya.jp/pics/boxart_m/177001456m.jpg,サイバーフロント,None,87,84.52,13,108
リトルバスターズ!エクスタシー 全年齢対象版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12519#ad,https://www.suruga-ya.jp/pics/boxart_m/145057358m.jpg,Key,https://key.visualarts.gr.jp/product/little_ex/,87,84.84,13,100
G線上の魔王,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7835#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0028/akbs_0028ps.jpg,あかべぇそふとつぅ,http://www.akabeesoft2.com/g_sen/,86,84.50,11,4916
リトルバスターズ!エクスタシー,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=10488#ad,https://img.digiket.net/cg/89/ITM0089550_1_at140.jpg,Key,https://key.visualarts.gr.jp/product/little_ex/,86,84.47,12,3065
俺たちに翼はない,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5148#ad,https://pics.dmm.co.jp/digital/pcgame/navel_0013/navel_0013ps.jpg,Navel,https://www.project-navel.com/oretsuba/,86,84.10,14,2757
RanceVI -ゼス崩壊-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3852#ad,https://pics.dmm.co.jp/digital/pcgame/alice_0016/alice_0016ps.jpg,ALICESOFT,https://www.alicesoft.com/rance6/,86,84.55,10,1818
9-nine- ゆきいろゆきはなゆきのあと,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=28639#ad,https://pics.dmm.co.jp/digital/pcgame/clear_0030/clear_0030ps.jpg,ぱれっと,http://palette.clearrave.co.jp/product/yukiiro/,86,85.75,10,1318
うたわれるもの DVD版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3174#ad,https://www.suruga-ya.jp/pics/boxart_m/145009973m.jpg,Leaf,https://leaf.aquaplus.jp/product/uta/,86,85.13,10,1208
Summer Pockets,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=24606#ad,https://pics.dmm.co.jp/digital/pcgame/vsat_0239/vsat_0239ps.jpg,Key,https://key.visualarts.gr.jp/summer/,86,85.67,10,1144
Phantom INTEGRATION,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3868#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0143/hobc_0143ps.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_01/phantom_int/,86,85.43,9,1103
君が望む永遠 ～Latest Edition～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=10332#ad,https://www.suruga-ya.jp/pics/boxart_m/145017623m.jpg,âge(age),http://www.age-soft.com/former/Product/kiminozole/index.htm,86,83.98,14,786
EVE burst error,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1246#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0012/hobc_0012ps.jpg,C’s ware,https://eve.el-dia.net/,86,85.07,12,649
CHAOS;CHILD,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=23054#ad,https://www.suruga-ya.jp/pics/boxart_m/145053697m.jpg,MAGES.(5pb.),http://chaoschild-pc.jp/,86,84.97,10,364
殻ノ少女《FULL VOICE HD SIZE EDITION》,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26999#ad,https://pics.dmm.co.jp/digital/pcgame/gung_0007/gung_0007ps.jpg,Innocent Grey,http://www.gungnir.co.jp/innocentgrey/products/pro_shellhd/,86,86.09,8,351
CROSS†CHANNEL -FINAL COMPLETE-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20848#ad,https://pics.dmm.co.jp/digital/pcgame/will_0247/will_0247ps.jpg,CROSS†CHANNEL,http://www.crosschannel-game.com/#/top/,86,84.78,11,301
パルフェリメイク,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=30366#ad,https://pics.dmm.co.jp/mono/game/587apc13852/587apc13852ps.jpg,戯画,None,86,84.82,11,245
もんむす・くえすと! ぱらどっくすRPG 前章,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20981#ad,https://pics.dmm.co.jp/digital/game/d_078690/d_078690pl.jpg,とろとろレジスタンス,http://mon110.sakura.ne.jp/mong/top.html,86,85.71,11,101
この青空に約束を―,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7169#ad,https://pics.dmm.co.jp/mono/game/30087apc10493/30087apc10493ps.jpg,戯画,None,85,83.41,13,4220
AIR,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=84#ad,https://www.suruga-ya.jp/pics/boxart_m/145003911m.jpg,Key,https://key.visualarts.gr.jp/product/air/,85,82.83,15,3128
グリザイアの果実 -LE FRUIT DE LA GRISAIA-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14237#ad,https://pics.dmm.co.jp/digital/pcgame/fwing_0010/fwing_0010ps.jpg,FrontWing,http://frontwing.jp/product/grisaia/index.html,85,83.15,10,3089
遥かに仰ぎ、麗しの,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7402#ad,https://pics.dmm.co.jp/digital/pcgame/will_0158/will_0158ps.jpg,PULLTOP,http://www.pulltop.com/gp06/,85,82.94,12,3074
真剣で私に恋しなさい!,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=11236#ad,https://pics.dmm.co.jp/digital/pcgame/hawkeye_0002/hawkeye_0002ps.jpg,みなとそふと,http://www.minatosoft.com/majikoi/index.html,85,81.70,14,2782
Fate/hollow ataraxia,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4628#ad,https://pics.dmm.co.jp/mono/game/935apc12965/935apc12965ps.jpg,TYPE-MOON,http://www.typemoon.com/products/hollow/index_over18.html,85,82.25,12,2571
世界でいちばんNG(ダメ)な恋,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=9706#ad,https://pics.dmm.co.jp/digital/pcgame/will_0248/will_0248ps.jpg,HERMIT,http://www.hermit-game.com/h03/top.html,85,82.72,11,2312
あやかしびと,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4886#ad,https://pics.dmm.co.jp/digital/pcgame/will_0113/will_0113ps.jpg,propeller,http://www.propeller-game.com/product/ayakasi/index.html,85,83.41,11,2310
月姫,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1610#ad,https://www.suruga-ya.jp/pics/boxart_m/186044482m.jpg,TYPE-MOON,http://www.typemoon.org/box/moon.html,85,83.57,13,2298
月に寄りそう乙女の作法,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17334#ad,https://pics.dmm.co.jp/digital/pcgame/navel_0001/navel_0001ps.jpg,Navel,https://www.project-navel.com/tsukiniyorisou/,85,83.99,9,2294
キラ☆キラ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=9716#ad,https://pics.dmm.co.jp/digital/pcgame/kgf_0004/kgf_0004ps.jpg,OVERDRIVE,http://project.over-drive.jp/kirakira/index.htm,85,83.93,11,2127
